Optimal HV: 17035431968
Iteration 361: HV = 8128431344.47, HVR = 0.48
Iteration 362: HV = 8128431344.47, HVR = 0.48
Iteration 363: HV = 8128431344.47, HVR = 0.48
Iteration 364: HV = 8128431344.47, HVR = 0.48
Iteration 365: HV = 8128431344.47, HVR = 0.48
Iteration 366: HV = 8068308098.64, HVR = 0.47
Iteration 367: HV = 8068308098.64, HVR = 0.47
Iteration 368: HV = 8068308098.64, HVR = 0.47
Iteration 369: HV = 8068308098.64, HVR = 0.47
Iteration 370: HV = 8068308098.64, HVR = 0.47
Iteration 371: HV = 8068308098.64, HVR = 0.47
Iteration 372: HV = 8025603534.38, HVR = 0.47
Iteration 373: HV = 8051622297.88, HVR = 0.47
Iteration 374: HV = 8051622297.88, HVR = 0.47
Iteration 375: HV = 8051622297.88, HVR = 0.47
Iteration 376: HV = 8072268140.08, HVR = 0.47
Iteration 377: HV = 8003523794.92, HVR = 0.47
Iteration 378: HV = 8003523794.92, HVR = 0.47
Iteration 379: HV = 8003523794.92, HVR = 0.47
Iteration 380: HV = 8003523794.92, HVR = 0.47
Iteration 381: HV = 8030807388.20, HVR = 0.47
Iteration 382: HV = 8030807388.20, HVR = 0.47
Iteration 383: HV = 8030807388.20, HVR = 0.47
Iteration 384: HV = 8030807388.20, HVR = 0.47
Iteration 385: HV = 8030807388.20, HVR = 0.47
Iteration 386: HV = 8030807388.20, HVR = 0.47
Iteration 387: HV = 8057630544.25, HVR = 0.47
Iteration 388: HV = 8077300453.79, HVR = 0.47
Iteration 389: HV = 8077300453.79, HVR = 0.47
Iteration 390: HV = 8077300453.79, HVR = 0.47
Iteration 391: HV = 8077300453.79, HVR = 0.47
Iteration 392: HV = 8077300453.79, HVR = 0.47
Iteration 393: HV = 8088381960.27, HVR = 0.47
Iteration 394: HV = 8088381960.27, HVR = 0.47
Iteration 395: HV = 8088381960.27, HVR = 0.47
Iteration 396: HV = 8302123000.22, HVR = 0.49
Iteration 397: HV = 8295675804.13, HVR = 0.49
Iteration 398: HV = 8295675804.13, HVR = 0.49
Iteration 399: HV = 8295675804.13, HVR = 0.49
Iteration 400: HV = 8295675804.13, HVR = 0.49
Iteration 401: HV = 8295675804.13, HVR = 0.49
Iteration 402: HV = 8295675804.13, HVR = 0.49
Iteration 403: HV = 8299613409.94, HVR = 0.49
